Instance, N, M, density %, max_deg, mean_deg, sd_deg, n_neg %, n_zero %, n_pos %, max_precision, mean_w, sd_w,interesting,toroidal
be1000.10,1001,50028,9.996,1000.000,99.956,29.938,50.182,0,49.816,4,58.320,79.091,1,
be1000.1,1001,50458,10.082,1000.000,100.815,29.953,50.379,0,49.621,4,58.150,80.659,1,
be1000.2,1001,50479,10.086,1000.000,100.857,30.033,50.138,0,49.862,4,58.094,79.449,1,
be1000.3,1001,50696,10.129,1000.000,101.291,29.962,50.499,0,49.495,4,58.662,82.784,1,
be1000.4,1001,50617,10.113,1000.000,101.133,29.857,50.268,0,49.732,4,58.580,81.076,1,
be1000.5,1001,50492,10.088,1000.000,100.883,29.994,50.287,0,49.709,4,58.203,78.626,1,
be1000.6,1001,50865,10.163,1000.000,101.628,29.980,49.869,0,50.131,4,58.561,81.794,1,
be1000.7,1001,50402,10.070,1000.000,100.703,30.067,50.311,0,49.687,4,58.805,82.401,1,
be1000.8,1001,50462,10.082,1000.000,100.823,29.946,50.137,0,49.863,4,58.120,78.958,1,
be1000.9,1001,50500,10.090,1000.000,100.899,29.998,50.050,0,49.950,4,58.342,78.724,1,
be100.10,101,585,11.584,100.000,11.584,9.332,52.991,0,46.838,3,70.009,63.621,,
be100.1,101,564,11.168,100.000,11.168,9.354,49.113,0,50.709,3,64.764,64.510,,
be100.2,101,582,11.525,100.000,11.525,9.340,50.687,0,49.313,3,65.098,59.926,,
be100.3,101,590,11.683,100.000,11.683,9.335,50.339,0,49.661,3,64.975,60.482,,
be100.4,101,575,11.386,100.000,11.386,9.302,49.565,0,50.435,3,64.814,58.200,,
be100.5,101,559,11.069,100.000,11.069,9.298,48.479,0,51.342,3,61.787,55.551,,
be100.6,101,610,12.079,100.000,12.079,9.330,50.492,0,49.508,3,65.090,59.935,,
be100.7,101,569,11.267,100.000,11.267,9.388,49.209,0,50.439,3,66.060,62.782,,
be100.8,101,592,11.723,100.000,11.723,9.232,49.493,0,50.338,3,69.559,68.396,,
be100.9,101,602,11.921,100.000,11.921,9.258,50.166,0,49.834,3,64.497,63.120,,
be2500.10,2501,311640,9.968,2500.000,249.212,47.492,50.161,0,49.839,4,55.781,84.470,1,
be2500.1,2501,312971,10.011,2500.000,250.277,47.489,50.191,0,49.809,4,55.804,85.429,1,
be2500.2,2501,311724,9.971,2500.000,249.279,47.450,50.124,0,49.876,4,55.548,82.364,1,
be2500.3,2501,311326,9.958,2500.000,248.961,47.424,50.017,0,49.983,4,55.763,82.588,1,
be2500.4,2501,311694,9.970,2500.000,249.255,47.333,50.262,0,49.737,4,55.882,84.580,1,
be2500.5,2501,311862,9.976,2500.000,249.390,47.442,50.155,0,49.845,4,55.658,82.796,1,
be2500.6,2501,311205,9.955,2500.000,248.864,47.448,50.171,0,49.828,4,55.699,83.328,1,
be2500.7,2501,312496,9.996,2500.000,249.897,47.395,50.191,0,49.809,4,55.625,83.488,1,
be2500.8,2501,311577,9.966,2500.000,249.162,47.436,50.208,0,49.792,4,55.705,83.114,1,
be2500.9,2501,312240,9.988,2500.000,249.692,47.355,50.166,0,49.834,4,55.910,84.601,1,
be250.10,251,3295,10.502,250.000,26.255,14.790,49.742,0,50.228,3,62.075,68.289,,
be250.1,251,3339,10.642,250.000,26.606,14.939,49.206,0,50.794,4,65.304,78.271,,
be250.2,251,3285,10.470,250.000,26.175,14.842,49.589,0,50.411,3,64.621,74.243,,
be250.3,251,3313,10.559,250.000,26.398,14.964,50.407,0,49.593,3,63.805,70.390,,
be250.4,251,3397,10.827,250.000,27.068,14.738,48.661,0,51.339,3,62.929,74.298,,
be250.5,251,3364,10.722,250.000,26.805,14.808,50.089,0,49.911,3,64.589,77.826,1,
be250.6,251,3433,10.942,250.000,27.355,14.814,49.782,0,50.218,3,62.939,70.651,,
be250.7,251,3337,10.636,250.000,26.590,14.866,50.494,0,49.506,3,63.891,73.071,,
be250.8,251,3265,10.406,250.000,26.016,14.922,48.270,0,51.730,3,64.138,73.576,,
be250.9,251,3395,10.821,250.000,27.052,14.869,50.869,0,49.131,3,64.117,73.941,,
be500.10,501,12908,10.306,500.000,51.529,21.022,50.364,0,49.636,4,60.920,76.628,,
be500.1,501,12872,10.277,500.000,51.385,21.160,49.744,0,50.249,4,60.300,74.638,,
be500.2,501,12778,10.202,500.000,51.010,21.035,50.086,0,49.914,4,60.890,78.740,,
be500.3,501,13022,10.397,500.000,51.984,21.074,50.491,0,49.501,4,60.507,74.895,,
be500.4,501,12780,10.204,500.000,51.018,21.105,50.939,0,49.053,4,60.002,73.688,1,
be500.5,501,12830,10.244,500.000,51.218,21.114,50.203,0,49.797,4,61.304,78.706,,
be500.6,501,12818,10.234,500.000,51.170,21.086,49.758,0,50.234,4,60.848,76.307,1,
be500.7,501,12907,10.305,500.000,51.525,21.125,49.756,0,50.244,4,61.462,77.952,1,
be500.8,501,12776,10.200,500.000,51.002,21.199,50.564,0,49.436,4,59.413,71.893,1,
be500.9,501,12858,10.266,500.000,51.329,21.048,49.891,0,50.101,4,60.571,74.765,1,
be50.10,51,158,12.392,50.000,6.196,6.472,48.101,0,51.899,3,65.405,56.795,,
be50.1,51,158,12.392,50.000,6.196,6.392,47.468,0,52.532,3,70.095,50.917,,
be50.2,51,170,13.333,50.000,6.667,6.615,51.176,1,47.647,3,64.488,45.409,,
be50.3,51,182,14.275,50.000,7.137,6.322,48.901,0,51.099,3,61.852,50.560,,
be50.4,51,161,12.627,50.000,6.314,6.569,54.658,0,44.720,3,64.689,51.451,,
be50.5,51,181,14.196,50.000,7.098,6.448,49.171,0,50.829,3,66.182,56.435,,
be50.6,51,151,11.843,50.000,5.922,6.648,49.007,0,50.331,3,60.106,43.074,,
be50.7,51,174,13.647,50.000,6.824,6.398,50.000,0,50.000,3,65.115,52.340,,
be50.8,51,187,14.667,50.000,7.333,6.308,50.267,0,49.733,3,64.225,52.599,,
be50.9,51,172,13.490,50.000,6.745,6.453,47.093,0,52.907,3,63.686,52.702,,
culberson100,4453,14501,0.146,14.000,6.513,1.051,0.000,0,100.000,15,41.632,23.794,1,
culberson101,2638,6339,0.182,10.000,4.806,1.057,0.000,0,100.000,15,19.379,18.264,1,
culberson102,2458,9074,0.300,13.000,7.383,1.195,0.000,0,100.000,15,0.000,0.000,1,
culberson103,1406,6955,0.704,14.000,9.893,1.311,69.662,0,30.338,1,1.000,0.000,1,
culberson104,1077,2258,0.390,8.000,4.193,1.049,33.791,0,66.209,15,6.661,4.398,1,
culberson105,3361,10346,0.183,12.000,6.157,1.053,0.000,0,100.000,16,0.001,0.011,1,
culberson106,3237,7964,0.152,12.000,4.921,1.080,0.000,0,100.000,12,8.051,0.620,1,
culberson107,4977,21941,0.177,16.000,8.817,1.175,0.000,0,100.000,16,0.250,0.144,1,
culberson108,4456,19594,0.197,15.000,8.794,1.064,0.000,0,100.000,2,46.699,25.724,1,
culberson10,4457,11517,0.116,11.000,5.168,1.082,32.300,0,67.700,15,8.826,5.901,1,
culberson11,3152,7666,0.154,10.000,4.864,1.108,0.000,0,100.000,12,6.230,0.578,1,
culberson12,3152,7666,0.154,10.000,4.864,1.108,29.716,0,70.284,1,1.000,0.000,1,
