graphname clust_min clust_max clust_mean clust_stdev clust_const deg_min deg_max deg_mean deg_stdev deg_const percent_pos weight_min weight_max weight_mean weight_stdev weight_const chromatic disconnected assortativity avg_neighbor_deg_min avg_neighbor_deg_max avg_neighbor_deg_mean avg_neighbor_deg_stdev avg_neighbor_deg_const avg_deg_conn_min avg_deg_conn_max avg_deg_conn_mean avg_deg_conn_stdev avg_deg_conn_const core_min core_max core_mean core_stdev core_const mis clust_log_kurtosis deg_log_kurtosis weight_log_kurtosis avg_neighbor_deg_log_kurtosis avg_deg_conn_log_kurtosis core_log_kurtosis clust_log_abs_skew deg_log_abs_skew weight_log_abs_skew avg_neighbor_deg_log_abs_skew avg_deg_conn_log_abs_skew core_log_abs_skew clust_skew_positive deg_skew_positive weight_skew_positive avg_neighbor_deg_skew_positive avg_deg_conn_skew_positive core_skew_positive log_n log_m log_norm_ev1 log_norm_ev2 log_ev_ratio density_%_*_1000 permutation_1 permutation_2 permutation_3
be1000.1 0,108984 0,133544 0,117554 0,00506139 0 71 1 0,100815 0,0299527 0 0,496215 -0,884205 1 0,000364145 0,0481752 0 0,030969 0 -0,0118627 0,099916 0,115014 0,109884 0,00129412 0 0,099916 0,115014 0,109978 0,00217856 0 71 81 0,0808751 0,000736782 0 0,048951 1,89962 6,69999 4,24745 2,01078 2,33076 4,45038 0,711376 3,33282 0,96033 0,0794659 0,816648 2,22961 1 1 1 0 0 0 6,90875 10,8289 7,3926 5,19165 2,20094 10082 2182 2360 2499
be1000.10 0,111175 0,124224 0,116845 0,00354249 0 73 1 0,099956 0,0299383 0 0,498161 -0,795044 1 0,000163419 0,0507326 0 0,02997 0 -0,011902 0,099056 0,113044 0,109091 0,0012594 0 0,099056 0,112288 0,108801 0,00195447 0 73 0,08 0,079965 0,00032507 0 0,0519481 1,22103 6,70573 4,1707 2,05 2,59678 5,49711 0,269537 3,33718 0,634012 0,294497 1,11871 2,69336 1 1 1 0 0 0 6,90875 10,8203 6,72039 3,1505 3,5699 9996 2280 946 1602
be1000.2 0,108535 0,127147 0,117584 0,00408438 0 0,07 1 0,100857 0,0300331 0 0,498623 -1 0,889561 0,000217303 0,0496336 0 0,02997 0 -0,0118755 0,099958 0,115671 0,109968 0,00126143 0 0,099958 0,115671 0,109935 0,00216871 0 0,07 81 0,0809191 0,000603392 0 0,0509491 1,45169 6,6891 4,27242 2,1155 2,34559 5,13349 0,0413034 3,32502 0,696726 0,0896584 0,795192 2,54129 1 1 1 0 0 0 6,90875 10,8293 6,94145 4,32379 2,61766 10086 1946 1147 2215
be1000.3 0,106796 0,124542 0,116657 0,00402774 0 74 1 0,101291 0,0299621 0 0,49495 -0,851121 1 0,000241827 0,0454984 0 0,02997 0 -0,0118691 0,100392 0,114811 0,110324 0,00126855 0 0,100392 0,114811 0,110179 0,00201753 0 74 82 0,0819441 0,000456791 0 0,048951 1,45925 6,69662 4,26212 2,00779 2,47928 5,21719 0,290951 3,33065 0,586625 0,231472 0,966637 2,60126 0 1 1 0 0 0 6,90875 10,8336 7,12595 4,74873 2,37722 10129 2336 1194 1434
be1000.4 0,107573 0,129179 0,118738 0,00572311 0 74 1 0,101133 0,0298573 0 0,497323 -1 0,973617 0,00038906 0,0507474 0 0,030969 0 -0,0116611 0,100234 0,114304 0,110105 0,00124136 0 0,100234 0,114038 0,109958 0,00198803 0 74 82 0,0818811 0,000677049 0 0,04995 1,1521 6,71132 4,23584 2,04222 2,49387 4,40539 0,0510874 3,34116 1,05653 0,305009 1,01394 2,2311 1 1 1 0 0 0 6,90875 10832 7,41744 5,21649 2,20095 10113 1640 1115 1590
be1000.5 0,109173 0,125179 0,117229 0,00432833 0 68 1 0,100883 0,0299945 0 0,497089 -1 0,958995 0,000270643 0,0501406 0 0,02997 0 -0,0119204 0,099984 0,114809 0,109974 0,00128773 0 0,099984 0,114809 0,110007 0,00218222 0 68 82 0,0818511 0,000958073 0 0,0529471 1,18418 6,69412 4,25341 2,00122 2,29928 4,6711 0,226724 3,32865 0,614409 0,188795 0,874016 2,34558 0 1 1 0 0 0 6,90875 10,8296 7,09392 4,74174 2,35218 10088 1458 1204 1462
be1000.6 0,108834 0,129426 0,118413 0,00429433 0 72 1 0,101628 0,0299803 0 0,501307 -1 0,85139 0,0000990628 0,0482252 0 0,030969 0 -0,0118656 0,10073 0,116151 0,110644 0,00133022 0 0,10073 0,116151 0,110706 0,00220147 0 72 82 0,0818781 0,000774939 0 0,0509491 1,5929 6,6927 4,21681 1,9543 2,29134 4,42273 0,379947 3,32761 0,289758 0,000284806 0,75115 2,2369 1 1 1 1 0 0 6,90875 10,8369 6,49525 4,75997 1,73527 10163 666 10 1622
be1000.7 0,107857 0,129479 0,117645 0,00564852 0 71 1 0,100703 0,0300667 0 0,496865 -1 0,930975 0,000329151 0,0577481 0 0,02997 0 -0,0121011 0,099804 0,114822 0,109863 0,00139445 0 0,099804 0,114732 0,109673 0,00223572 0 71 81 0,0808811 0,000793866 0 0,0519481 1,18987 6,68531 4,1871 1,88718 2,16809 4,29917 0,316625 3,32236 0,796584 0,129155 0,72199 2,19095 1 1 1 0 0 0 6,90875 10,8278 7,16648 4,84053 2,32595 10070 405 550 2100
be1000.8 0,108264 0,126176 0,116319 0,00549873 0 73 1 0,100823 0,0299456 0 0,498633 -0,929226 1 0,000261313 0,0499198 0 0,02997 0 -0,0118959 0,099924 0,113687 0,109889 0,00128746 0 0,099924 0,113432 0,109785 0,00199144 0 73 81 0,0809341 0,000481058 0 0,04995 1,00095 6,7009 4,24191 1,94606 2,57175 4,92018 0,179384 3,33361 0,680889 0,316591 1,09719 2,43436 1 1 1 0 0 0 6,90875 10829 7,06628 4,67592 2,39036 10082 1632 1381 201
be1000.9 0,112397 0,125179 0,11777 0,00372286 0 68 1 0,100899 0,0299981 0 0,499505 -0,891505 1 0,000149103 0,0501471 0 0,02997 0 -0,0119723 0,1 0,115075 0,109994 0,00132914 0 0,1 0,113956 0,10978 0,00210781 0 68 81 0,0809211 0,0005783 0 0,048951 1,14821 6,69357 4,21225 1,93197 2,36766 5,58811 0,335207 3,32827 0,666788 0,14989 0,994673 2,69799 1 1 1 0 0 0 6,90875 10,8297 6,67999 3,41082 3,26917 10090 434 2624 644
